attributes,geometry
"{'OBJECTID': 1, 'Province_State': None, 'Country_Region': 'Afghanistan', 'Last_Update': 1616502373000, 'Lat': 33.93911, 'Long_': 67.709953, 'Confirmed': 56177, 'Recovered': 49752, 'Deaths': 2466, 'Active': 3959, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Afghanistan'}","{'x': 67.70995300000004, 'y': 33.93911000000003}"
"{'OBJECTID': 2, 'Province_State': None, 'Country_Region': 'Albania', 'Last_Update': 1616502373000, 'Lat': 41.1533, 'Long_': 20.1683, 'Confirmed': 121544, 'Recovered': 85846, 'Deaths': 2145, 'Active': 33553, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Albania'}","{'x': 20.168300000000045, 'y': 41.15330000000006}"
"{'OBJECTID': 3, 'Province_State': None, 'Country_Region': 'Algeria', 'Last_Update': 1616502373000, 'Lat': 28.0339, 'Long_': 1.6596, 'Confirmed': 116255, 'Recovered': 80887, 'Deaths': 3061, 'Active': 32307, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Algeria'}","{'x': 1.6596000000000686, 'y': 28.033900000000074}"
"{'OBJECTID': 4, 'Province_State': None, 'Country_Region': 'Andorra', 'Last_Update': 1616502373000, 'Lat': 42.5063, 'Long_': 1.5218, 'Confirmed': 11545, 'Recovered': 11014, 'Deaths': 113, 'Active': 418, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Andorra'}","{'x': 1.5218000000000416, 'y': 42.50630000000007}"
"{'OBJECTID': 5, 'Province_State': None, 'Country_Region': 'Angola', 'Last_Update': 1616502373000, 'Lat': -11.2027, 'Long_': 17.8739, 'Confirmed': 21757, 'Recovered': 20090, 'Deaths': 530, 'Active': 1137, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Angola'}","{'x': 17.87390000000005, 'y': -11.202699999999936}"
"{'OBJECTID': 6, 'Province_State': None, 'Country_Region': 'Antigua and Barbuda', 'Last_Update': 1616502373000, 'Lat': 17.0608, 'Long_': -61.7964, 'Confirmed': 1072, 'Recovered': 701, 'Deaths': 28, 'Active': 343, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Antigua and Barbuda'}","{'x': -61.79639999999995, 'y': 17.06080000000003}"
"{'OBJECTID': 7, 'Province_State': None, 'Country_Region': 'Argentina', 'Last_Update': 1616502373000, 'Lat': -38.4161, 'Long_': -63.6167, 'Confirmed': 2252172, 'Recovered': 2037686, 'Deaths': 54671, 'Active': 159815, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Argentina'}","{'x': -63.61669999999998, 'y': -38.416099999999965}"
"{'OBJECTID': 8, 'Province_State': None, 'Country_Region': 'Armenia', 'Last_Update': 1616502373000, 'Lat': 40.0691, 'Long_': 45.0382, 'Confirmed': 185020, 'Recovered': 169172, 'Deaths': 3384, 'Active': 12464, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Armenia'}","{'x': 45.038200000000074, 'y': 40.06910000000005}"
"{'OBJECTID': 9, 'Province_State': 'Australian Capital Territory', 'Country_Region': 'Australia', 'Last_Update': 1616502373000, 'Lat': -35.4735, 'Long_': 149.0124, 'Confirmed': 123, 'Recovered': 116, 'Deaths': 3, 'Active': 4, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Australian Capital Territory, Australia'}","{'x': 149.01240000000007, 'y': -35.473499999999945}"
"{'OBJECTID': 10, 'Province_State': 'New South Wales', 'Country_Region': 'Australia', 'Last_Update': 1616502373000, 'Lat': -33.8688, 'Long_': 151.2093, 'Confirmed': 5270, 'Recovered': 0, 'Deaths': 54, 'Active': 5216, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'New South Wales, Australia'}","{'x': 151.2093000000001, 'y': -33.868799999999965}"
